STATEFP,PLACEFP,PLACENS,GEOID,NAME,NAMELSAD,ALAND,AWATER,INTPTLAT,INTPTLON
6,66000,2411782,666000,San Diego,San Diego city,842239838,122257276,+32.8152995,-117.1349930
6,13392,2409461,613392,Chula Vista,Chula Vista city,128544430,6380130,+32.6276701,-117.0151696
6,53322,2411301,653322,Oceanside,Oceanside city,106840719,2390159,+33.2245949,-117.3062277
6,58520,2411480,658520,Poway,Poway city,101214496,223435,+32.9877018,-117.0218426
6,59346,2409128,659346,Ramona,Ramona CDP,99485421,54011,+33.0456193,-116.8775149
6,11194,2409984,611194,Carlsbad,Carlsbad city,97713551,3595657,+33.1239089,-117.2828350
6,22804,2410455,622804,Escondido,Escondido city,95361231,455887,+33.1330533,-117.0740430
6,81736,2409396,681736,Valley Center,Valley Center CDP,71033076,0,+33.2331047,-117.0157748
6,1192,2407726,601192,Alpine,Alpine CDP,69362784,9861,+32.8422857,-116.7560444
6,68196,2411797,668196,San Marcos,San Marcos city,63102746,52507,+33.1338931,-117.1693670
6,18940,2582992,618940,Descanso,Descanso CDP,49788815,0,+32.8695665,-116.6280849
6,22678,2410440,622678,Encinitas,Encinitas city,48722315,3050096,+33.0506323,-117.2636163
6,82996,2412161,682996,Vista,Vista city,48380227,0,+33.1895407,-117.2386078
6,23462,2408113,623462,Fallbrook,Fallbrook CDP,45387731,85591,+33.3747015,-117.2217238
6,66004,2409252,666004,San Diego Country Estates,San Diego Country Estates CDP,43641424,0,+33.0093573,-116.7875849
6,37120,2408438,637120,Jamul,Jamul CDP,42950506,647442,+32.7181605,-116.8653641
6,70224,2411830,670224,Santee,Santee city,42035933,758844,+32.8549903,-116.9860556
6,21712,2410406,621712,El Cajon,El Cajon city,37489926,0,+32.8017002,-116.9603794
6,7498,2407884,607498,Bonsall,Bonsall CDP,34700067,449909,+33.2722445,-117.1910318
6,32044,2408350,632044,Harbison Canyon,Harbison Canyon CDP,26091650,0,+32.8272798,-116.8380660
6,40004,2411576,640004,La Mesa,La Mesa city,23513418,104098,+32.7694947,-117.0219232
6,10559,2407946,610559,Camp Pendleton North,Camp Pendleton North CDP,22931237,525021,+33.3194069,-117.3194177
6,59550,2409137,659550,Rancho San Diego,Rancho San Diego CDP,22536104,0,+32.7623964,-116.9196950
6,16378,2410233,616378,Coronado,Coronado city,20541300,64062166,+32.6572021,-117.1561371
6,37582,2408455,637582,Julian,Julian CDP,20303170,0,+33.0735936,-116.5889671
6,50398,2411216,650398,National City,National City city,18853102,4761840,+32.6658617,-117.0973610
6,73696,2408796,673696,Spring Valley,Spring Valley CDP,18555661,541195,+32.7299478,-116.9764015
6,39766,2408562,639766,Lakeside,Lakeside CDP,17870156,984760,+32.8566170,-116.9042369
6,11691,2407979,611691,Casa de Oro-Mount Helix,Casa de Oro-Mount Helix CDP,17749394,0,+32.7639706,-116.9687976
6,59584,2409138,659584,Rancho Santa Fe,Rancho Santa Fe CDP,17392107,188500,+33.0235962,-117.2006320
6,33532,2408381,633532,Hidden Meadows,Hidden Meadows CDP,17048824,0,+33.2236437,-117.1198339
6,17106,2407680,617106,Crest,Crest CDP,16914630,0,+32.8000217,-116.8670774
6,40326,2408510,640326,La Presa,La Presa CDP,14237585,1351430,+32.7123147,-117.0037099
6,23150,2408101,623150,Fairbanks Ranch,Fairbanks Ranch CDP,13194524,12376,+32.9915955,-117.1866110
6,7414,2407882,607414,Bonita,Bonita CDP,12993123,359832,+32.6732170,-117.0061014
6,23000,2628813,623000,Eucalyptus Hills,Eucalyptus Hills CDP,12324337,38920,+32.8851767,-116.9449826
6,85992,2409614,685992,Winter Gardens,Winter Gardens CDP,11472171,2714,+32.8375271,-116.9265645
6,36294,2410098,636294,Imperial Beach,Imperial Beach city,10777744,838135,+32.5653537,-117.1145672
6,10561,2407947,610561,Camp Pendleton South,Camp Pendleton South CDP,10116902,254504,+33.2282196,-117.3808009
6,41124,2410818,641124,Lemon Grove,Lemon Grove city,10045451,0,+32.7330714,-117.0344138
6,72506,2411923,672506,Solana Beach,Solana Beach city,9115483,270081,+32.9914992,-117.2581337
6,58478,2628778,658478,Potrero,Potrero CDP,8155979,0,+32.6130849,-116.6068140
6,30703,2408320,630703,Granite Hills,Granite Hills CDP,7291826,0,+32.8034218,-116.9055713
6,7624,2407889,607624,Bostonia,Bostonia CDP,5003689,0,+32.8190480,-116.9422035
6,39724,2408550,639724,Lake San Marcos,Lake San Marcos CDP,4456518,222843,+33.1223616,-117.2085756
6,18506,2410314,618506,Del Mar,Del Mar city,4420523,181236,+32.9628522,-117.2624379